Model,Scenario,Region,Variable,Unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
IMAGE 3.0.1,IMA15-AGInt,World,Emissions|CO2,Mt CO2/yr,33224.43653,35767.09082,38443.64291,35626.50424,28449.28174,22603.42627,15003.20418,10047.28613,4009.91805,-1112.730611,,-5275.622111,,-9482.836101,,-9359.558757,,-7605.077556,,-9759.541423
IMAGE 3.0.1,IMA15-Def,World,Emissions|CO2,Mt CO2/yr,33242.7627,35766.0739,38465.42448,35469.18848,29815.39079,22059.96468,10742.66642,4571.05009,2832.620178,-1988.105876,,-8144.671062,,-10885.68075,,-10413.71468,,-10129.36808,,-11206.8077
IMAGE 3.0.1,IMA15-Eff,World,Emissions|CO2,Mt CO2/yr,33243.81185,35766.7041,38049.18262,34553.03028,28810.5612,21505.51742,10886.70752,3618.111308,2697.442058,-719.071457,,-7530.446208,,-10274.07699,,-9494.506593,,-9411.787273,,-10601.71908
IMAGE 3.0.1,IMA15-LiStCh,World,Emissions|CO2,Mt CO2/yr,33257.85905,35810.0918,38342.77377,34110.36621,28112.42464,20992.19841,12744.01294,7809.321453,3439.319682,-1278.558991,,-5434.157553,,-8083.635743,,-8088.175212,,-7243.811524,,-7426.928671
IMAGE 3.0.1,IMA15-LoNCO2,World,Emissions|CO2,Mt CO2/yr,33238.6377,35771.83529,38459.96029,35428.47559,29872.43897,24017.9432,16906.89079,12479.48926,6413.286011,902.6211447,,-3055.757569,,-5130.399821,,-5869.401897,,-5740.742269,,-4812.899699
IMAGE 3.0.1,IMA15-Pop,World,Emissions|CO2,Mt CO2/yr,33238.6377,35771.83529,38431.54362,35234.79395,29446.73145,23523.95117,16265.32617,9384.921062,3117.145589,-519.2066244,,-6350.728882,,-10491.86231,,-10640.48674,,-10149.86149,,-13027.96745
IMAGE 3.0.1,IMA15-RenElec,World,Emissions|CO2,Mt CO2/yr,33238.38347,35797.50554,38167.32162,34632.69434,28435.02507,21517.5612,14625.44979,6774.723918,1398.425242,-464.8742905,,-6518.17452,,-10582.12443,,-11074.79248,,-11314.39429,,-12033.88631
IMAGE 3.0.1,IMA15-TOT,World,Emissions|CO2,Mt CO2/yr,33242.43327,35828.36426,37644.38477,34189.11361,26701.22347,18303.79769,10051.01904,4910.11023,670.9622346,-2269.945069,,-3294.236369,,-3634.123434,,-2094.041301,,-157.8552424,,1516.974121
IMAGE 3.0.1,SSP1-19,World,Emissions|CO2,Mt CO2/yr,33166.07422,35488.82878,,33208.79948,,17967.96826,,6413.946208,,968.036255,,-1649.998545,,-4136.923829,,-7370.205445,,-10567.70752,,-14340.42464
MESSAGE-GLOBIOM 1.0,ADVANCE_2020_1.5C-2100,World,Emissions|CO2,Mt CO2/yr,37633.64162,40078.43138,,40495.54723,,18563.80548,,9448.461656,,2763.305161,,-2429.06989,,-7626.793102,,-12539.72388,,-13806.45305,,-14262.34288
MESSAGE-GLOBIOM 1.0,ADVANCE_2030_Price1.5C,World,Emissions|CO2,Mt CO2/yr,37640.22657,40079.04787,,40499.3358,,40989.17252,,16534.06534,,6342.270453,,-212.1156623,,-4340.94058,,-8784.050276,,-13196.09275,,-13893.52579
MESSAGE-GLOBIOM 1.0,EMF33_1.5C_cost100,World,Emissions|CO2,Mt CO2/yr,37547.0345,40094.78829,,41037.40834,,15744.37946,,6340.09325,,-523.1359454,,-8790.322801,,-10828.02957,,-12677.77643,,-13738.5994,,-14214.54114
MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,World,Emissions|CO2,Mt CO2/yr,37547.0345,40094.78829,,41037.40834,,15792.07037,,6383.051697,,-491.8238606,,-8908.771074,,-10883.61454,,-12709.87916,,-13755.88954,,-14191.80204
MESSAGE-GLOBIOM 1.0,EMF33_WB2C_cost100,World,Emissions|CO2,Mt CO2/yr,37547.0345,40094.78829,,41037.40834,,26850.37693,,17567.40717,,9561.657814,,432.854437,,-3781.374311,,-7459.901993,,-10137.53204,,-11379.19002
MESSAGE-GLOBIOM 1.0,EMF33_WB2C_full,World,Emissions|CO2,Mt CO2/yr,37547.0345,40094.78829,,41037.40834,,27072.63604,,17501.37438,,9155.939154,,303.5461226,,-3814.777598,,-7375.327479,,-10049.47376,,-11300.33726
MESSAGE-GLOBIOM 1.0,EMF33_WB2C_limbio,World,Emissions|CO2,Mt CO2/yr,37547.0345,40094.78829,,41037.40834,,22663.63601,,12667.23304,,5598.981531,,-1001.033258,,-3142.838178,,-4806.228536,,-5679.073041,,-5570.181399
MESSAGE-GLOBIOM 1.0,EMF33_WB2C_nofuel,World,Emissions|CO2,Mt CO2/yr,37547.0345,40094.78829,,41037.40834,,26202.24935,,16686.46598,,8785.013058,,527.116698,,-3044.924463,,-6025.531798,,-8144.238743,,-9150.676298
MESSAGE-GLOBIOM 1.0,SSP1-19,World,Emissions|CO2,Mt CO2/yr,37720.75119,40265.62802,,38093.86268,,23404.16216,,14933.85584,,3629.964971,,-4029.742853,,-8118.545609,,-11932.14884,,-14315.90065,,-15487.08144
MESSAGE-GLOBIOM 1.0,SSP2-19,World,Emissions|CO2,Mt CO2/yr,37767.24183,40313.50203,,40931.32174,,23633.12853,,11524.1294,,3778.922018,,-1510.684608,,-6540.368386,,-10608.86418,,-12410.88058,,-13048.88988
MESSAGEix-GLOBIOM 1.0,CD-LINKS_NPi2020_400,World,Emissions|CO2,Mt CO2/yr,35933.0697,38542.01816,,39615.22255,,23824.22308,,12039.05505,,2737.839477,,-7103.209038,,-11119.14575,,-14120.38951,,-16521.49954,,-17726.89656
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand,World,Emissions|CO2,Mt CO2/yr,36073.78658,38542.03732,,39563.51104,,16213.81365,,7873.345862,,2735.637728,,-67.75974956,,-1670.161704,,-2462.204435,,-3302.25016,,-3524.486354
POLES ADVANCE,ADVANCE_2020_1.5C-2100,World,Emissions|CO2,Mt CO2/yr,31803.05425,34853.41138,37830.04713,41831.62088,35792.79413,24388.624,14716.66613,8563.68675,3560.850625,-283.0733125,-3155.471563,-5721.433188,-7925.230125,-9214.802125,-10806.90338,-12170.50994,-14642.43475,-15359.83981,-15618.55219,-15996.91888
