GDP MER by region,,,,,,,,,,,,,,,,,,,,,,,
scenario,region,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units
"ARM_Reference,date=2021-10-8T12:21:23-04:00",Africa_Eastern,4.68E+04,8.60E+04,1.19E+05,1.52E+05,1.87E+05,2.39E+05,3.21E+05,4.28E+05,5.70E+05,7.58E+05,1.00E+06,1.31E+06,1.70E+06,2.19E+06,2.78E+06,3.49E+06,4.32E+06,5.27E+06,6.35E+06,7.57E+06,8.90E+06,Million1990US$
"ARM_Reference,date=2021-10-8T12:21:23-04:00",Africa_Northern,1.90E+05,3.11E+05,3.88E+05,4.18E+05,5.16E+05,6.27E+05,7.85E+05,9.60E+05,1.15E+06,1.37E+06,1.60E+06,1.85E+06,2.12E+06,2.41E+06,2.71E+06,3.01E+06,3.32E+06,3.63E+06,3.94E+06,4.26E+06,4.59E+06,Million1990US$
"ARM_Reference,date=2021-10-8T12:21:23-04:00",Africa_Southern,4.27E+04,7.94E+04,1.20E+05,1.55E+05,1.73E+05,2.11E+05,2.66E+05,3.31E+05,4.17E+05,5.32E+05,6.84E+05,8.79E+05,1.12E+06,1.43E+06,1.80E+06,2.24E+06,2.76E+06,3.35E+06,4.04E+06,4.80E+06,5.65E+06,Million1990US$
"ARM_Reference,date=2021-10-8T12:21:23-04:00",Africa_Western,1.68E+05,2.93E+05,3.93E+05,5.00E+05,5.65E+05,6.91E+05,9.43E+05,1.27E+06,1.69E+06,2.25E+06,2.96E+06,3.87E+06,5.01E+06,6.42E+06,8.12E+06,1.01E+07,1.25E+07,1.51E+07,1.81E+07,2.14E+07,2.50E+07,Million1990US$
"ARM_Reference,date=2021-10-8T12:21:23-04:00",Argentina,1.28E+05,2.19E+05,2.74E+05,3.01E+05,3.02E+05,3.62E+05,4.28E+05,4.97E+05,5.68E+05,6.43E+05,7.10E+05,7.80E+05,8.50E+05,9.22E+05,9.93E+05,1.06E+06,1.13E+06,1.20E+06,1.27E+06,1.34E+06,1.40E+06,Million1990US$
"ARM_Reference,date=2021-10-8T12:21:23-04:00",Australia_NZ,475383,772904,882826,1013810,1153370,1314320,1475910,1640200,1815660,2005630,2197920,2396550,2615050,2849350,3093570,3336930,3579410,3816480,4050460,4284010,4516300,Million1990US$
"ARM_Reference,date=2021-10-8T12:21:23-04:00",Brazil,786901,1170860,1457160,1542340,1594470,1794230,2048040,2291770,2542590,2795310,3044500,3299120,3558100,3810910,4061910,4321010,4575940,4826990,5078120,5333660,5593580,Million1990US$
"ARM_Reference,date=2021-10-8T12:21:23-04:00",Canada,668973,1005740,1064420,1189120,1303870,1419620,1559950,1715090,1881650,2051400,2218400,2386880,2570660,2775330,2996170,3223430,3455510,3686480,3917570,4151310,4387790,Million1990US$
"ARM_Reference,date=2021-10-8T12:21:23-04:00",Central America and Caribbean,113765,178918,218884,262053,300442,351963,417694,490639,574240,669126,774543,890954,1018630,1158930,1312060,1477840,1656430,1846970,2048570,2260510,2481890,Million1990US$
"ARM_Reference,date=2021-10-8T12:21:23-04:00",Central Asia,126204,134470,198634,258597,312987,388181,478837,569439,658178,740861,812946,880544,952722,1033170,1115270,1192920,1269310,1346570,1427060,1510370,1593360,Million1990US$
"ARM_Reference,date=2021-10-8T12:21:23-04:00",China,620802,2490250,4193660,6071910,8274700,1.08E+07,1.33E+07,1.55E+07,1.73E+07,1.89E+07,2.02E+07,2.11E+07,2.19E+07,2.25E+07,2.29E+07,2.32E+07,2.34E+07,2.35E+07,2.35E+07,2.35E+07,2.35E+07,Million1990US$
"ARM_Reference,date=2021-10-8T12:21:23-04:00",Colombia,96910,149582,188483,236590,276838,328803,390518,461574,545556,644809,758474,892153,1049400,1234380,1451970,1707860,2008860,2362970,2779420,3269320,3845550,Million1990US$
"ARM_Reference,date=2021-10-8T12:21:23-04:00",EU-12,529373,731738,849165,958330,1152470,1315290,1478060,1639620,1794310,1934410,2066120,2193720,2330180,2475900,2620240,2752790,2877300,2997710,3118060,3242850,3372810,Million1990US$
"ARM_Reference,date=2021-10-8T12:21:23-04:00",EU-15,7288360,9948830,1.03E+07,1.08E+07,1.18E+07,1.27E+07,1.37E+07,1.47E+07,1.59E+07,1.72E+07,1.84E+07,1.98E+07,2.13E+07,2.29E+07,2.45E+07,2.61E+07,2.77E+07,2.94E+07,3.11E+07,3.28E+07,3.45E+07,Million1990US$
"ARM_Reference,date=2021-10-8T12:21:23-04:00",Europe_Eastern,163165,115140,131293,124638,140321,162346,190483,220070,250196,279582,308158,338666,373383,410753,448067,483067,516526,549346,582147,614716,645743,Million1990US$
"ARM_Reference,date=2021-10-8T12:21:23-04:00",Europe_Non_EU,324521,516655,600042,810837,924137,1083520,1259630,1440390,1632730,1830430,2031640,2240200,2454530,2672900,2892910,3109910,3322880,3533070,3742060,3948980,4150880,Million1990US$
