Model,Scenario,Region,Variable,Unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_1p5Degree,World,Emissions|CO2,Mt CO2/yr,34690.406,38558.7818,38693.7434,39050.7392,29157.5792,19166.7524,15396.5828,12667.5915,10748.7858,7839.784,7106.8976,6532.5434,6514.2533,5759.5482,6186.5811,6646.7176,6909.8227,7173.1705,7651.7288,8119.4802
AIM/CGE 2.0,SFCM_SSP2_ST_bio_1p5Degree,World,Emissions|CO2,Mt CO2/yr,34690.406,38545.4284,38682.5147,39042.5533,29164.3893,19232.2104,15488.6097,12860.5064,10896.9189,7973.7155,6934.4912,6347.4049,6300.9232,5565.7567,6021.2074,6486.2975,6739.0534,6987.7156,7436.2336,7885.3002
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_1p5Degree,World,Emissions|CO2,Mt CO2/yr,34690.406,38556.0385,38713.9265,39077.7224,29166.6958,19142.8399,15248.8152,12293.5282,10186.9495,7342.7858,6204.7826,5499.0947,5333.1693,4577.8858,4928.0431,5276.9732,5418.2837,5540.1917,5849.1563,6141.5102
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_2Degree,World,Emissions|CO2,Mt CO2/yr,34690.406,38556.0385,38713.9265,39077.7224,35213.9814,30984.7083,26417.4202,23077.8176,21517.6732,19116.3455,16929.5727,15731.6818,14560.5803,13048.7869,12599.5552,12123.0939,11818.602,11488.7655,11572.1646,11592.0728
AIM/CGE 2.0,SFCM_SSP2_ST_solar_1p5Degree,World,Emissions|CO2,Mt CO2/yr,34690.406,38557.8766,38692.0635,39047.563,29149.9958,19103.6204,15147.6487,12112.2817,9970.0502,7144.2258,6023.4045,5316.6075,5156.2916,4366.4127,4712.3034,5090.5168,5270.7511,5461.337,5846.9128,6217.219
AIM/CGE 2.0,SFCM_SSP2_ST_solar_2Degree,World,Emissions|CO2,Mt CO2/yr,34690.406,38557.8766,38692.0635,39047.563,35181.9184,30949.0837,26327.8842,23039.4457,21470.1561,19115.7152,16971.6724,15637.8318,14464.8411,12942.4012,12481.1039,11996.444,11723.5996,11429.2472,11597.8092,11726.9532
AIM/CGE 2.0,SFCM_SSP2_ST_wind_1p5Degree,World,Emissions|CO2,Mt CO2/yr,34690.406,38555.5163,38688.1002,39041.0883,29136.0166,19055.7365,15037.9589,11984.565,9823.3959,7004.1768,5860.3569,5144.8141,4986.3026,4215.0125,4558.5666,4888.2681,5031.0237,5187.6325,5537.4066,5906.7502
AIM/CGE 2.0,SFCM_SSP2_ST_wind_2Degree,World,Emissions|CO2,Mt CO2/yr,34690.406,38555.5163,38688.1002,39041.0883,35168.664,30924.4935,26262.2359,22905.5987,21305.6617,18935.2751,16824.9857,15523.3829,14376.6625,12888.5599,12484.6197,12032.077,11785.5842,11540.0129,11723.2551,11861.5567
AIM/CGE 2.0,SFCM_SSP2_SupTech_1p5Degree,World,Emissions|CO2,Mt CO2/yr,34690.406,38538.4468,38695.3726,39056.6238,29137.4219,19104.6972,15336.5946,12677.0701,10666,7687.507,6876.1336,6219.7917,6132.5887,5364.7864,5728.156,6110.9648,6282.5965,6438.4523,6773.2051,7103.3749
AIM/CGE 2.0,SFCM_SSP2_combined_1p5Degree,World,Emissions|CO2,Mt CO2/yr,34690.406,36982.1008,36691.9282,36801.8818,27706.2527,18081.6156,14301.0447,11632.7954,9590.7993,6623.8522,5447.5722,4677.0651,4388.7857,3511.9659,3594.3374,3677.195,3540.9926,3381.4684,3373.2433,3330.4104
AIM/CGE 2.0,SFCM_SSP2_combined_2Degree,World,Emissions|CO2,Mt CO2/yr,34690.406,36982.1008,36691.9282,36801.8818,33151.7331,29200.791,24741.8702,21935.4094,20612.5333,18167.2572,15819.3456,13885.8818,12540.2625,11030.6032,10465.4519,9749.1497,9122.0459,8475.3575,8211.5338,7874.6226
AIM/CGE 2.0,SSP1-26,World,Emissions|CO2,Mt CO2/yr,34373.9345,35781.8143,,37181.3385,,29790.5086,,19431.3522,,13678.9516,,8677.2115,,4100.1163,,2083.2195,,626.9675,,17.7377
AIM/CGE 2.0,SSP2-26,World,Emissions|CO2,Mt CO2/yr,34373.9345,38251.8756,,43231.2477,,30427.131,,18764.6773,,10587.9102,,6520.8678,,1006.8895,,-1581.8267,,-3653.4777,,-4841.6014
AIM/CGE 2.0,SSP4-26,World,Emissions|CO2,Mt CO2/yr,34373.9345,38198.2155,,44818.0637,,34967.5373,,22419.0714,,15216.1727,,9004.5016,,3298.7214,,672.1782,,-1551.7865,,-2785.298
AIM/CGE 2.0,SSP5-26,World,Emissions|CO2,Mt CO2/yr,34373.9345,37229.7437,,41808.1147,,28062.8871,,21740.3454,,11007.712,,4297.8936,,-1844.7285,,-4443.6726,,-6481.0354,,-7639.2179
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,World,Emissions|CO2,Mt CO2/yr,32974.8985,33909.3468,36076.2817,38682.1867,31600.5259,23423.4814,14732.393,11684.0263,9315.3868,7141.7513,4059.6392,1032.6013,-640.3628,-25.3164,342.4037,773.4874,1217.1827,1162.8789,664.5469,20.1297
AIM/CGE 2.1,EMF33_Med2C_cost100,World,Emissions|CO2,Mt CO2/yr,32974.8985,37824.4259,40688.8685,43736.3442,32690.4514,25635.644,23209.5184,24211.9827,19917.3092,16209.7605,12043.9543,9707.9342,6804.686,9620.6969,8544.0074,7719.399,8054.7066,8123.5562,8355.7972,8661.3157
AIM/CGE 2.1,EMF33_Med2C_full,World,Emissions|CO2,Mt CO2/yr,32974.8985,37828.1179,40698.5717,43739.2684,32683.1463,25600.7516,23815.9443,25223.096,19806.5837,17085.7939,13167.7831,10882.8344,7497.8682,8088.2218,7980.2763,8148.6513,8309.8082,8361.2441,8547.1912,9392.8555
AIM/CGE 2.1,EMF33_Med2C_nobeccs,World,Emissions|CO2,Mt CO2/yr,32974.8985,37828.1179,40698.5717,43739.2684,32683.1463,25600.2049,22993.1284,22919.0162,18235.0988,16315.3414,10596.5211,8995.4568,7035.6529,6982.8377,8000.1284,7928.3329,8234.3669,8817.939,9314.6385,9539.1609
AIM/CGE 2.1,EMF33_Med2C_nofuel,World,Emissions|CO2,Mt CO2/yr,32974.8985,37828.1179,40681.4844,43755.4777,32715.811,25674.869,22396.8625,21440.8065,16523.54,16639.1663,10770.1429,9176.4123,7074.9844,6608.6982,7404.8088,7432.1068,8108.89,8676.4101,9007.8357,9320.5865
AIM/CGE 2.1,EMF33_Med2C_none,World,Emissions|CO2,Mt CO2/yr,32974.8985,37808.3659,40681.1151,43793.4837,32790.8793,25796.7388,22561.0679,20965.6983,16458.7095,16105.9746,11426.491,9864.9874,7647.3689,6707.8069,7523.4914,7192.0755,8131.4129,8903.8768,9285.8884,9584.2796
AIM/CGE 2.1,EMF33_WB2C_full,World,Emissions|CO2,Mt CO2/yr,32974.8985,37828.1179,40698.5717,43739.2684,32683.1463,25600.7516,14776.9383,16640.2318,11334.8486,9561.8792,3581.3874,-110.3993,-2532.273,-2868.4306,-1228.6756,-1169.9062,-618.7052,72.157,-61.075,814.6376
AIM/CGE 2.1,TERL_2D_LowCarbonTransportPolicy,World,Emissions|CO2,Mt CO2/yr,32974.8985,33899.2827,36228.6641,38995.4282,29942.3948,22985.8237,20685.5269,17578.1407,13923.2774,10226.7431,6925.9911,4183.5589,1931.9389,65.7213,-1423.9117,-2548.9616,-3333.2714,-4127.0907,-4956.3871,-5890.1921
AIM/CGE 2.1,TERL_2D_NoTransportPolicy,World,Emissions|CO2,Mt CO2/yr,32974.8985,34477.4844,37205.9956,40326.8225,31078.909,24086.481,21823.964,18671.2985,14946.5604,11069.1624,7631.6064,4797.1632,2456.0978,716.2522,-187.2364,-1022.7119,-1916.7907,-2791.1951,-3724.2313,-4821.5462
GCAM 4.2,SSP1-26,World,Emissions|CO2,Mt CO2/yr,,35775.43167,,35526.56077,,28026.92351,,23573.063,,17766.7692,,11324.00927,,4920.97541,,-555.5890482,,-5880.160665,,-10963.87157
GCAM 4.2,SSP2-26,World,Emissions|CO2,Mt CO2/yr,,35775.42846,,39892.5593,,46337.38079,,24661.77147,,4013.386335,,-4440.896938,,-6551.907095,,-11175.74103,,-17078.98655,,-24018.22941
GCAM 4.2,SSP4-26,World,Emissions|CO2,Mt CO2/yr,,35775.76253,,40048.78536,,23821.81049,,16324.22323,,11881.38324,,6666.028153,,-123.1214489,,-10622.95596,,-19091.43944,,-27544.50487
GCAM 4.2,SSP5-26,World,Emissions|CO2,Mt CO2/yr,,35775.43186,,39478.48029,,51109.39526,,23686.28156,,186.410248,,-3111.930541,,-3712.916562,,-6778.937259,,-12773.70706,,-21665.96217
IEA World Energy Model 2017,Faster Transition Scenario,World,Emissions|CO2,Mt CO2/yr,31825.5906,35536.99072,37268.21279,35128.48356,30441.07454,24744.58534,19161.3184,14722.31611,11923.50867,9765.37226,,4866.286311,,49.70536706,,-1097.44362,,-1278.226615,,-1386.937734
IMAGE 3.0.1,ADVANCE_2020_Med2C,World,Emissions|CO2,Mt CO2/yr,33197.38054,35473.99024,37079.82552,39453.66276,37984.2461,34073.38802,29415.75635,25705.82373,20289.99951,16508.07097,13730.02401,12129.7478,11048.06234,10225.34326,8286.619223,6628.783244,4965.447714,2923.986959,1627.091726,520.7924398
IMAGE 3.0.1,ADVANCE_2020_WB2C,World,Emissions|CO2,Mt CO2/yr,33197.38054,35473.99024,37062.88509,38538.57162,33534.25912,27612.72852,22432.51628,16061.95508,12352.25163,7456.826864,4913.391968,2792.641114,1049.117279,279.7410253,-701.6526083,-1311.859212,-1534.912455,-2218.489095,-2327.431437,-3102.35024
IMAGE 3.0.1,ADVANCE_2030_Med2C,World,Emissions|CO2,Mt CO2/yr,33197.38054,35473.99024,37084.63086,39568.76172,40092.39681,39440.61101,36106.3112,32021.18978,26513.47689,21591.40479,14144.35734,9667.74227,5714.346029,4230.009807,3100.20046,1520.122589,764.586553,147.3588244,295.0139822,-234.7734172
IMAGE 3.0.1,ADVANCE_2030_WB2C,World,Emissions|CO2,Mt CO2/yr,33197.38054,35473.99024,37085.61914,39061.62305,39294.93262,36947.78972,23235.30681,17295.96029,11866.63493,7713.115316,3296.523336,1242.128764,-112.0993843,-834.6899008,-1478.04365,-1434.808472,-1528.786947,-2804.514588,-3642.231547,-3902.473796
IMAGE 3.0.1,CD-LINKS_NPi2020_1000,World,Emissions|CO2,Mt CO2/yr,33327.23568,35037.74642,37621.72233,39396.42839,37175.7461,30087.45638,25326.86979,18357.99203,14170.69092,10528.94344,,4138.596029,,699.4768118,,-1799.597382,,-2483.902588,,-2935.932719
IMAGE 3.0.1,CD-LINKS_NPi2020_1600,World,Emissions|CO2,Mt CO2/yr,33094.29492,35161.04525,37452.39681,39694.56348,38414.38477,33650.76172,28987.36507,24293.52149,18487.94206,16377.43522,,11557.77376,,8004.102377,,3864.824219,,198.3931389,,-1344.99528
IMAGE 3.0.1,SSP1-26,World,Emissions|CO2,Mt CO2/yr,33166.07422,35488.82162,,38389.78158,,33930.92513,,25904.73682,,17732.93457,,10565.80794,,4785.242147,,-2921.840088,,-8098.321208,,-8347.35018
IMAGE 3.0.1,SSP2-26,World,Emissions|CO2,Mt CO2/yr,33182.72819,35612.61817,,39787.11101,,28697.75749,,18550.00326,,10842.53117,,2871.237224,,-469.8957876,,-2924.837606,,-3985.219523,,-5241.49642
IMAGE 3.0.1,SSP4-26,World,Emissions|CO2,Mt CO2/yr,33111.52539,35675.75,,37470.87696,,27076.2404,,16513.31315,,6017.40328,,1784.381185,,-90.11819713,,-1035.020396,,-1493.649699,,-960.9200033
IMAGE 3.0.2,EMF33_WB2C_cost100,World,Emissions|CO2,Mt CO2/yr,33168.06153,35595.57032,,39447.21029,,35044.13086,,22320.75993,,12081.42139,,4523.706136,,3121.84843,,1057.00764,,-506.6966757,,-1654.552562
IMAGE 3.0.2,EMF33_WB2C_full,World,Emissions|CO2,Mt CO2/yr,33167.9362,35595.2194,,39440.42839,,34906.38737,,21930.59294,,11872.00692,,5882.778158,,4109.478882,,1631.136831,,-651.6553905,,-1686.414785
IMAGE 3.0.2,EMF33_WB2C_limbio,World,Emissions|CO2,Mt CO2/yr,33167.9362,35595.2194,,39712.67839,,33174.14519,,18037.22494,,12301.29606,,6288.564291,,2991.426636,,1547.168284,,1156.485779,,475.7917939
IMAGE 3.0.2,EMF33_WB2C_nobeccs,World,Emissions|CO2,Mt CO2/yr,33167.9362,35595.2194,,39403.2461,,33306.34929,,21738.85921,,12142.41642,,6529.328492,,5756.329183,,5279.01351,,4441.385621,,4214.067058
IMAGE 3.0.2,EMF33_WB2C_nofuel,World,Emissions|CO2,Mt CO2/yr,33167.9362,35597.51465,,39842.80567,,34649.83529,,21661.29883,,11010.75472,,5851.692058,,2831.170207,,1115.905263,,-1101.073547,,-2057.354492
IMAGE 3.0.2,EMF33_tax_hi_full,World,Emissions|CO2,Mt CO2/yr,33167.9362,35595.20508,,42616.75,,38892.07552,,30312.47298,,17851.08968,,10901.19067,,7812.709718,,3860.314291,,-412.4625982,,-2692.498637
MESSAGE V.3,GEA_Eff_1p5C,World,Emissions|CO2,Mt CO2/yr,34590.578,36307.24167,,26883.813,,16972.44267,,9333.837333,,3273.669667,,-1095.636667,,-5244.088667,,-9233.627333,,-13056.11267,,-16416.01867
MESSAGE V.3,GEA_Eff_1p5C_Delay2020,World,Emissions|CO2,Mt CO2/yr,34447.94467,36354.66267,,38766.91867,,24312.585,,12695.73433,,265.4446667,,-6083.568333,,-10114.92533,,-12983.44667,,-14777.708,,-16355.68
MESSAGE V.3,GEA_Eff_2C_Delay2020,World,Emissions|CO2,Mt CO2/yr,34449.23167,36355.96433,,38768.939,,33519.321,,24774.76833,,11403.062,,1456.678667,,-5178.660667,,-9940.703667,,-12764.09933,,-15596.51867
MESSAGE V.3,GEA_Eff_AdvNCO2_1p5C,World,Emissions|CO2,Mt CO2/yr,34591.57533,36307.74033,,30884.32233,,22786.10033,,13944.96033,,6068.839333,,-174.0126667,,-4965.623667,,-9347.143667,,-13922.502,,-17869.335
MESSAGE V.3,GEA_Mix_1p5C_AdvNCO2_PartialDelay2020,World,Emissions|CO2,Mt CO2/yr,33904.50433,35794.11733,,34425.798,,24236.76933,,12282.20033,,692.021,,-5371.303667,,-8091.266333,,-9787.327,,-10793.24033,,-12018.61467
MESSAGE V.3,GEA_Mix_1p5C_AdvTrans_PartialDelay2020,World,Emissions|CO2,Mt CO2/yr,34470.99333,36420.72133,,35152.69267,,25258.78667,,13711.41933,,1436.464333,,-6053.388,,-10186.73333,,-12979.12,,-14990.349,,-16691.67133
MESSAGE V.3,GEA_Mix_2C_AdvNCO2_PartialDelay2020,World,Emissions|CO2,Mt CO2/yr,34472.41967,36421.759,,35157.81867,,32431.96367,,23998.56433,,10407.342,,2202.313667,,-3114.089,,-6397.812667,,-9065.283333,,-11094.26267
MESSAGE V.3,GEA_Mix_2C_AdvTrans_PartialDelay2020,World,Emissions|CO2,Mt CO2/yr,34472.416,36421.79567,,35154.56267,,33450.17133,,25568.697,,11332.79767,,1338.868667,,-5180.068667,,-9573.938,,-12977.305,,-15830.30167
MESSAGE-GLOBIOM 1.0,ADVANCE_2020_Med2C,World,Emissions|CO2,Mt CO2/yr,37637.83698,40078.96249,,40499.49916,,35953.83445,,31482.25341,,23721.65695,,15050.01714,,8465.468797,,1688.374932,,-2858.05615,,-5182.504096
